PairID,Protocol/Results,PMCID,Link,Text,Blinding/masking (check all who were masked),Used full article
1,Protocol,PMC3117715,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3117715/,"...Outcome assessments are done by research staff who were not involved in recruitment or baseline data collection, and who are not deliberately aware of group allocation....",Outcome assessors_blinded,No
1,Results,PMC3698942,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3698942/,...Research staff who were not involved in recruitment or collection of baseline data and who were blind to allocation carried out outcome assessments....,Outcome assessors_blinded,No
2,Protocol,PMC3120681,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3120681/,"...This is an assessor-blinded, parallel-group, multi-centre randomized controlled trial....The central CRC will obtain the patient's name and phone number and will keep the rater blind to the name of the clinic and the treatment the participant is receiving....The central CRC will obtain the patient's name and phone number and will keep the rater blind to the name of the clinic and the treatment the participant is receiving....The central CRC will obtain the patient's name and phone number and will keep the central rater blind to the name of the clinic and the treatment the participant is receiving....",Outcome assessors_blinded,No
2,Results,PMC6040068,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6040068/,"...The Strategic Use of New generation antidepressants for Depression (SUN☺D) is a multi-centre, open-label, assessor-blinded, pragmatic RCT that involved two randomisation steps to examine the first- and second-line treatment strategies for untreated unipolar major depressive episodes....Outcome assessors were blinded throughout. The statisticians conducting the analyses and the writing committee were masked to treatment allocation until they signed the agreed- upon interpretations of the results....For both the step 1 and step 2 randomisations, the primary outcome was depression severity as measured by masked assessors conducting semi-structured interviews using the PHQ-9 at week 9....The writing committee reviewed a statistical report in which the treatments were masked, and developed interpretation of the results and associated conclusions under alternative scenarios for all possible permutations of treatments [42]....",Outcome assessors_blinded | Data analysts_blinded | Patients/participants_unblinded | Intervention providers_unblinded,No
3,Protocol,PMC3355035,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3355035/,,Not reported,No
3,Results,PMC4260077,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4260077/,,Not reported,No
4,Protocol,PMC3418177,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3418177/,,Not reported,No
4,Results,PMC3770709,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3770709/,,Not reported,No
5,Protocol,PMC6069849,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6069849/,"...An evaluator-blinded RCT will be implemented comparing mCIMT with and without AOT on UL function in children with uCP....In order to blind parents and children to group allocation, they will only be informed about the general description of the study design....One blinded, experienced physiotherapist, not involved in the camp activities, will assess UL function at the four different time points. Video-based clinical scales (AHA and Melbourne Assessment 2) will be scored afterwards by another evaluator, blinded to group allocation and time point of the assessment....",Outcome assessors_blinded,Yes
5,Results,PMC6977217,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6977217/,"...An experienced physiotherapist blinded to group allocation (JH) conducted the evaluations at T0 (baseline, 3–4 months before the intervention), T1 (within 4 days before the intervention), T2 (within 4 days after the intervention), and T3 (6 months after the intervention)....A certified rater scored the videos, blinded to group- allocation and time-point evaluation....The test was scored afterwards by a trained physiotherapist blinded to group-allocation and time-point evaluation....",Outcome assessors_blinded,No
6,Protocol,PMC3751729,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3751729/,"...However, to limit the potential bias introduced by lack of blindness, an independent adjudicating committee, blind to treatment allocation, will validate the events that will constitute the primary outcome....To preserve outcome assessor blindness, an independent adjudicating committee (three clinical psychiatrists, with no links to the study and blind to treatment allocation) will anonymously review all deaths and all hazardous acts reported during the 12 months of follow-up by the treating clinicians....The statistical analysis will be masked, i.e. the trial biostatistician will be blinded to the treatment groups until the analysis has been completed....",Outcome assessors_blinded | Data analysts_blinded,No
6,Results,PMC4210495,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4210495/,"...However, to limit the potential for ascertainment bias, an independent adjudicating committee, blind to treatment allocation, validated the events that constituted the primary outcome....",Outcome assessors_blinded,No
7,Protocol,PMC6311046,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6311046/,,Not reported,No
7,Results,PMC6537555,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6537555/,,Not reported,No
8,Protocol,PMC4219009,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4219009/,"...As such, participants enter their data themselves and are blind to their assignment. Following randomization, clinic sites were activated individually, and clinic staff are blinded to the condition. Training for clinic study staff was conducted by condition, and clinic study staff conducting the study are also blind to clinic randomization status. Finally, data analysis to evaluate study outcomes will be blinded to the clinic’s status as an intervention or control intervention arm....",Patients/participants_blinded | Intervention providers_blinded | Data analysts_blinded | Outcome assessors_blinded,No
8,Results,PMC5732507,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5732507/,"...Study staff conducting the assessments and conditions were blind to their clinic randomization status, and both clinic staff and participants were blinded to condition. Data analysis to evaluate study outcomes were blinded to clinic condition....",Intervention providers_blinded | Patients/participants_blinded | Data analysts_blinded | Outcome assessors_blinded,No
9,Protocol,PMC3297520,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3297520/,"...Randomization sequence and allocation will be concealed to all study subjects, research staff, investigators and pharmacists until completion of the study....",Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded | Data analysts_blinded,Yes
9,Results,PMC3524425,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3524425/,"...The randomization codes were hidden from all subjects, research staff, investigators and pharmacists until all the data were analyzed....Statistical analysis was done by a statistician under blinded conditions....",Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded | Data analysts_blinded,No
10,Protocol,PMC3898142,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3898142/,...Statisticians analyzing the data and personnel at the central laboratory measuring HbA1c will be blinded to group assignment....,Outcome assessors_blinded | Data analysts_blinded,No
10,Results,PMC3781531,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3781531/,,Not reported,No
11,Protocol,PMC6112404,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6112404/,"...The randomisation list is available to the data and safety monitoring board, but patients, nurses, physicians and other data collectors are kept blinded to the allocation during the study....",Patients/participants_blinded | Outcome assessors_blinded,No
11,Results,PMC9047644,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9047644/,"...The randomization list was available to the data and safety monitoring board, but patients, nurses, physicians, and other data collectors were kept blinded to the allocation until the last patient completed the study and all analyses were finalized....Three experienced radiographers blinded to clinical data and allocation measured the AVC scores, and analyses of the 3 scans (baseline, year 1, and year 2) were done simultaneously....",Patients/participants_blinded | Outcome assessors_blinded,No
12,Protocol,PMC5153683,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5153683/,,Not reported,No
12,Results,PMC7939944,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7939944/,,Not reported,No
13,Protocol,PMC4025413,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4025413/,"...This is a prospective, single-centre, investigator-blinded, randomised, parallel group design trial conducted at the Center of Thrombosis and Hemostasis of the University Center Mainz, Germany in collaboration with the Department of Medicine II, the Institute for Clinical Chemistry and Laboratory Medicine, the Institute of Medical Biostatistics, Epidemiology and Informatics, the Pharmacy and the Interdisciplinary Center for Clinical Studies....All other study personnel will remain blinded to the allocation group....The analysis of endothelial function data will be performed offline by personnel blinded to the allocation group (also in the case of withdrawal of the patient from the study and/or from the study medication; figure 2)....",Patients/participants_unblinded | Intervention providers_unblinded | Outcome assessors_blinded | Data analysts_blinded,Yes
13,Results,PMC8710519,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8710519/,"...Investigators were blinded to the allocation....The protocol of the EST, a three-arms, parallel design, randomized, investigator-blinded trial, is published in (10)....The analysis was performed off-line in a random order by staff blinded to the allocation group with signal processing software (PeriSoft 2.5.5; Perimed, Järfälla, Sweden)....",Outcome assessors_blinded,Yes
14,Protocol,PMC4446829,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4446829/,,Not reported,No
14,Results,PMC5741924,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5741924/,"...However, the principal researcher was not involved in the exercise training and analyses were performed blinded for group allocation....The assessors of the primary study outcomes were blinded....",Data analysts_blinded | Outcome assessors_blinded,No
15,Protocol,PMC3973868,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3973868/,"...Independent investigators assessing participants at the end of the intervention and at three, six and 12 month follow-up visits or phone calls will be blind to the allocation of the treatment group. Participants will be asked not to discuss group allocation with the assessing professional. Moreover, the person who carries out the analysis of the data will not be involved in the investigation....",Outcome assessors_blinded | Patients/participants_unblinded,No
15,Results,PMC8296136,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8296136/,,Not reported,No
16,Protocol,PMC5379660,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5379660/,"...A pragmatic, 3-group, randomised, assessor-blinded, single-centre trial exploring the cardiovascular physiological effects of the use of e-cigarettes (nicotine-free and nicotine-inclusive, assessed separately) combined with behavioural support as a smoking cessation method in comparison to the combination of NRT and behavioural support....Outcome assessors will be blinded to group allocation and participants will be reminded regularly not to share their group allocation with this person. Statistician and health economist will be blinded to group allocation during the analysis process....",Outcome assessors_blinded | Patients/participants_unblinded | Data analysts_blinded,No
16,Results,PMC9380327,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9380327/,...Outcome assessors were blinded to group allocation and participants were reminded regularly not to share their group allocation with assessors or those providing behavioral support. The study statistician/health economist was blinded to group allocation....,Outcome assessors_blinded | Patients/participants_unblinded | Data analysts_blinded,No
17,Protocol,PMC3481366,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3481366/,,Not reported,No
17,Results,PMC6853170,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6853170/,...Participants and study staff (site investigators and trial coordinating centre staff) were masked to allocation....,Patients/participants_blinded | Intervention providers_blinded,No
18,Protocol,PMC4570710,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4570710/,"...Adverse events, eventual parallel treatment or medication, how much infants cried from being needled and how well parents are blinded will be reported....In this trial the infants were separated from the parents for five minutes for blinding reasons....",Patients/participants_unblinded | Intervention providers_unblinded | Outcome assessors_blinded,Yes
18,Results,PMC5466913,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5466913/,"...The CHC nurse and the parents were blinded to group allocation....Adverse events and the success of parental blinding were additionally reported....The nurse was blinded to group allocation, as were the parents until they had answered the questions at the end of the FU period....",Patients/participants_unblinded | Outcome assessors_blinded | Intervention providers_unblinded,Yes
19,Protocol,PMC5859815,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5859815/,...Analysis will be performed by a statistician blinded to the spray status of the clusters....,Data analysts_blinded,No
19,Results,PMC7877039,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7877039/,,Not reported,No
20,Protocol,PMC4710982,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4710982/,"...This is a blinded study in which the drug assignment will be concealed from patients, parents, and study personnel....This will ensure blinding of both the allocating physician as well as the one performing outcome assessment. Moreover, medication will be dispensed by community health workers who are not involved in treatment allocation and outcome assessment....2. Performance bias: This is a blinded study in which the drug assignment will be concealed from patients, parents, and study personnel....Drug will be dispensed by trained community health care workers who are unrelated to the randomization and outcome assessment processes. 3. Detection bias: This is a blinded study in which the drug assignment is concealed from study personnel who are randomising and assessing the outcome....This will ensure blinding of both the allocating physician as well as the one performing outcome assessment....",Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded,No
20,Results,PMC7244232,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7244232/,"...Drug dispensing was undertaken by separate study staff in a segregated clinic area. Physicians who assessed outcomes were also masked to the drug dispensing. Physicians who were randomizing and assessing outcomes, participating parents as well as all trial study staff were blinded to the treatment allocation until the end of analysis of the study....",Outcome assessors_blinded | Intervention providers_blinded | Data analysts_blinded,No
21,Protocol,PMC3406972,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406972/,,Not reported,No
21,Results,PMC3794862,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3794862/,,Not reported,No
22,Protocol,PMC7745514,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7745514/,"...As bias in estimating the effects of the intervention is anticipated due to the open-label design of the study, the analysis will be performed by an independent researcher who will not involve in the intervention or allocation of participants....",Data analysts_blinded | Intervention providers_unblinded | Patients/participants_unblinded | Outcome assessors_unblinded,No
22,Results,PMC8852666,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8852666/,,Not reported,No
23,Protocol,PMC3345610,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3345610/,,Not reported,No
23,Results,PMC4055800,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4055800/,,Not reported,No
24,Protocol,PMC5935890,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5935890/,"...The implementer and the Ministry of Health are blinded to the identity and location of villages selected for intensive data collection....While health clinicians at health facilities may not be fully aware of patient Ubudehe status nor what sectors in their region have received the intervention and so may be blinded during the health assessment process, CHWs are aware of the allocation of patients during symptom assessment as they are based at the village level....",Outcome assessors_unblinded,No
24,Results,PMC6546207,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6546207/,,Not reported,No
25,Protocol,PMC3651718,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3651718/,,Not reported,No
25,Results,PMC6323792,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6323792/,,Not reported,No
26,Protocol,PMC5857085,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5857085/,,Not reported,No
26,Results,PMC7038903,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7038903/,,Not reported,No
27,Protocol,PMC6893558,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6893558/,"...All investigators, statisticians, and data analysts were blinded to arm assignments until the study and analysis were completed....",Data analysts_blinded | Intervention providers_blinded | Outcome assessors_blinded,Yes
27,Results,PMC8144928,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8144928/,"...All investigators, statisticians, and data analysts were blinded to arm assignments until the study and analysis were completed....",Data analysts_blinded | Intervention providers_blinded | Outcome assessors_blinded,No
28,Protocol,PMC5832903,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832903/,...Participants were blind to their study group assignment as all participants received training in the use of health system technology offerings. Participants were assigned a unique personal identifier and a group identifier allowing for blinding at the point of analysis....,Patients/participants_blinded | Data analysts_blinded,No
28,Results,PMC7076411,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076411/,...Participants and research team members not involved in recruitment were blind to the randomization....,Not Reported,Yes
29,Protocol,PMC3061925,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3061925/,,Not reported,No
29,Results,PMC3894173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3894173/,...It was not possible to blind patients or treating physicians due to the nature of the intervention....,Intervention providers_unblinded | Patients/participants_unblinded,No
30,Protocol,PMC3148988,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3148988/,"...Although endothelial function recordings are done non-blinded, the analyses of these data will be done blinded to both group allocation and time of measurement....",Outcome assessors_unblinded | Data analysts_blinded,No
30,Results,PMC4961392,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4961392/,...Weight measurement at delivery and blood analyses were done by personnel blinded for group allocation....The statistician conducting the statistical analyses was blinded for group allocation....,Outcome assessors_unblinded | Data analysts_blinded,No
31,Protocol,PMC5994046,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5994046/,,Not reported,No
31,Results,PMC6814122,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6814122/,...The evaluators were blind to the study arm....,Outcome assessors_blinded,No
32,Protocol,PMC3045905,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045905/,"...Severity of symptoms will be assessed by a blinded investigator (psychologist) from the Clinic for Psychiatry and Psychotherapy, Charité University Medical Center....The patients, the psychiatrist and the statistician will remain blinded from the identity of the four treatment groups until the end of the study....",Outcome assessors_blinded | Patients/participants_blinded | Intervention providers_unblinded | Data analysts_blinded,Yes
32,Results,PMC3781106,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3781106/,"...The patients, the whole study team including the psychiatrist, the psychologist who assessed the HAM-D, and the statistician remained blinded to the identity of the four treatment groups until the end of the study....Severity of symptoms was assessed by a blinded investigator (psychologist) supervised by the Clinic for Psychiatry and Psychotherapy at Charité – Universitätsmedizin Berlin....",Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded | Data analysts_blinded,No
33,Protocol,PMC3192674,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3192674/,...Patients and assessors are blinded with regard to acupuncture treatment given....The statistical analysis will be performed by a statistician blinded to allocation in Clinical Evaluation Center of China Academy of Chinese Medical Sciences....The staffs in charge of assessment and statistician are all blinded to the patients' allocation....,Patients/participants_blinded | Outcome assessors_blinded | Data analysts_blinded,No
33,Results,PMC3625218,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3625218/,...Data management and analysis were performed by researchers who were blinded to the acupuncture procedures....The statistical analysis was performed by a statistician blinded to treatment allocation in the Clinical Evaluation Center of China Academy of Chinese Medical Sciences....,Data analysts_blinded,No
34,Protocol,PMC4676178,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4676178/,"...The trial is blinded at the level of cluster randomization: community organizations are aware that their participants will receive one of the two interventions, but they will be blinded to group allocation....A research assistant, who will be blinded to group allocation, will inform, deliver and complete the questionnaires after each telephone follow-up. A statistician blinded to the allocation will conduct the analysis and reporting of the co-primary outcome measures....",Intervention providers_unblinded | Outcome assessors_blinded | Data analysts_blinded | Patients/participants_unblinded,Yes
34,Results,PMC6593322,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6593322/,"...The trial was blinded at the level of cluster randomisation as the community organisations, the research assistants who performed the telephone follow-ups, and the statistician who analysed the outcomes were blinded to group allocation....",Patients/participants_blinded | Outcome assessors_blinded | Data analysts_blinded,No
35,Protocol,PMC3045306,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045306/,,Not reported,No
35,Results,PMC4511259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4511259/,,Not reported,No
36,Protocol,PMC3816245,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3816245/,...Participants remain blind to treatment group allocation....,Patients/participants_blinded,No
36,Results,PMC4407900,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4407900/,...Participants remained blind to group allocation....Clinicians conducting follow-up interviews were blind to patient information....,Patients/participants_blinded,No
37,Protocol,PMC4235173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4235173/,...Participants will be blind to group allocation and it will not be possible for participants to tell from the online training interface which group they have been assigned to....The researcher responsible for testing participants at baseline and post- intervention outcome assessments will not be involved in the allocation of participant IDs and will be blind to participants’ group allocation....,Patients/participants_blinded | Outcome assessors_blinded,No
37,Results,PMC9007089,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9007089/,"...Additionally, and importantly for the robust RCT design of the current study, the “research edition” of Cogmed RM offers the ability to effectively blind participants and researchers using adaptive and nonadaptive (placebo) versions of the training....A single-center, phase II, active-controlled RCT with participant and outcome assessor blinding, and minimized allocation (Scott et al. 2002) of participants to one of the two groups (adaptive training or nonadaptive training) according to: age (younger = 50 to 62 years/older = 63 to 74 years), sex (m/f), baseline working memory [Backward Digit Span, n trials correct (maximum = 14), low ≤6/high ≥7], and hearing aid use (unilateral/bilateral), with a 1:1 allocation....Both participants and the researchers conducting the outcome assessments were blind to participants’ group allocation....",Patients/participants_blinded | Outcome assessors_blinded,No
38,Protocol,PMC3727984,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3727984/,,Not reported,No
38,Results,PMC6529670,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6529670/,,Not reported,No
39,Protocol,PMC5826976,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5826976/,"...The study data analyst is blinded to the random assignments....Therefore, the study data analyst is blinded during data collection and during analysis....",Data analysts_blinded,No
39,Results,PMC8660785,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8660785/,"...However, outcome ascertainment was blinded, given that the sensor collected and transferred data automatically....",Outcome assessors_blinded,No
40,Protocol,PMC6452278,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6452278/,"...The randomization lists for each site are stored in an access-restricted electronic folder and neither the research staff nor clinic staff know the patient’s study condition....When the research assistants introduce the intervention tasks to the patient, they remain available for questions but otherwise do not participate in the completion of the task and remain blinded to the instructions and content of the exercise....",Intervention providers_blinded | Outcome assessors_blinded,No
40,Results,PMC8678693,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8678693/,"...In brief, the trial was a multicenter patient-level, randomized, controlled, blinded (study and medical team blinded) clinical trial....Study personnel and the patient’s clinical team were blinded to treatment group.6...",Intervention providers_blinded | Outcome assessors_blinded,No
41,Protocol,PMC6421712,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6421712/,...The trial will be double-blinded (i.e. study participants and the trial team/researchers conducting the treatment and assessing the outcomes will be blinded)....,Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded,No
41,Results,PMC8277064,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277064/,"...Participants, investigators, outcome assessors and the trial statistician were blinded during the whole study period....",Patients/participants_blinded | Intervention providers_blinded | Outcome assessors_blinded | Data analysts_blinded,No
42,Protocol,PMC3652773,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3652773/,"...Two trained clinical graduate students, blind to condition and session number, independently rate selected tapes....A blinded clinical graduate student telephones each participant twice in the interim between summer follow-up and the in-person next winter follow-up: once in October and once in December....A trained rater, blind to the treatment condition, administers the SIGH-SAD at pre- treatment, treatment weeks 1–5, post-treatment, summer follow-up, next winter follow-up, and second winter follow-up. A second blinded rater subsequently rates audiotapes of the live SIGH-SADs to assess inter-rater reliability....A trained and blinded clinical graduate student rater administers the LIFE live, and a second blinded clinical graduate student rates an audiotape of the LIFE to assess reliability for detecting recurrences in these interim periods....In these cases reaching the threshold for an unacceptable split between raters, two additional blinded raters are selected from our team to re-rate those particular interviews....If a consensus cannot be reached, the PI is consulted about what was said on the tape (keeping her blind to subject identity, and, therefore, group assignment) to make a final decision about the most accurate score for that item....",Outcome assessors_blinded,No
42,Results,PMC7962797,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7962797/,"...A random sample (25%) of sessions varying across condition and, for CBT-SAD, across group, session number, and therapist, were independently rated by two trained clinical psychology graduate students, blind to condition and session number....The 29-item Structured Interview Guide for the Hamilton Rating Scale for Depression—Seasonal Affective Disorder Version (SIGH-SAD)8 was administered by a blind rater at pre-treatment, Weeks 1–5, and post-treatment....SIGH-SADs were audio-recorded and rated by a second blind rater....",Outcome assessors_blinded,No
43,Protocol,PMC7574300,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7574300/,"...All treating physicians and study coordinators will remain blinded to the allocation sequence throughout the trial....Clinical personnel, research personnel, and patients, except for the nurses who prepare the study drug (not involved in patient care, see below), will be blinded to the assigned interventions during the study period....",Intervention providers_blinded | Patients/participants_blinded | Outcome assessors_blinded | Data analysts_blinded,No
43,Results,PMC8104015,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8104015/,...Blinding to the allocation sequence was upheld for all treating physicians and study coordinators throughout the trial....,Patients/participants_blinded | Intervention providers_blinded,Yes
44,Protocol,PMC3189404,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3189404/,,Not reported,No
44,Results,PMC3816864,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3816864/,"...The sequence was concealed until the intervention was assigned, and investigators were blinded to group assignment....",Patients/participants_blinded,Yes
