PairID,Protocol/Results,PMCID,Link,Text,Stopping guidelines (select the best answer),Used full article,CJV Notes
53,Protocol,PMC3720554,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3720554/,,Not reported,No,
53,Results,PMC4371624,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4371624/,,Not reported,No,
54,Protocol,PMC4248299,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4248299/,...A data monitoring committee (DMC) will review accumulating data and make recommendations to the trial steering committee (TSC) with respect to trial conduct and participant safety. DMC and TSC charters outline the roles and responsibilities of these committees....,Not Reported  ,Yes,
54,Results,PMC6365841,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6365841/,"...The data monitoring committee approved the sample size increase from 120 to 214 participants....Data monitoring committee: Karen Smith (principal statistician, NIHR Research Design Services, University of Leicester), Muthu Ganapathi (consultant orthopaedic surgeon, NHS Wales University Health Board), and Peter Lovell (lay representative)....",Not Reported  ,Yes,
55,Protocol,PMC5134092,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5134092/,,Not reported,No,
55,Results,PMC6714428,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6714428/,,Not reported,No,
56,Protocol,PMC5654192,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5654192/,"...#### Data monitoring Primary responsibility for data monitoring will be assumed by a Data Monitoring Committee (DMC) which will consist of study team members (senior investigators and primary analyst) without any competing interests. The DMC will oversee all data sharing, data integrity, data security, and reporting of analyses of study results. The DMC will have access to the original study database and will guide blinded primary data analyses. Study team members with potential competing interests will not be members of the DMC and will not have access to the original study database which will be kept on password-protected servers in Uganda....LC and RB will not be members of the DMC established for this study....",Not Reported  ,Yes,
56,Results,PMC7787382,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787382/,,Not reported,No,
57,Protocol,PMC6887087,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6887087/,,Not reported,No,
57,Results,PMC8475664,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8475664/,,Not reported,No,
58,Protocol,PMC6327461,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6327461/,,Not reported,No,
58,Results,PMC7511540,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7511540/,,Not reported,No,
59,Protocol,PMC6647387,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6647387/,...No interim analysis is planned....,Reported no stopping guidelines used  ,No,
59,Results,PMC7540547,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7540547/,"...Blinded assessment of safety was performed during trial conduction via the safety data monitoring board (H.G.K., K.S., and M.P.)....",Not Reported  ,Yes,
60,Protocol,PMC3567958,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3567958/,"...### Stopping Rules Guidelines have been established to ensure that the study will be stopped as soon as possible in the event of occurrence of an unacceptable proportion of SAEs. The method used follows a Bayesian approach [55,56]. It is assumed that the number of events follows a binomial distribution, and the a priori distribution of the probability of event is a β (1,1), which corresponds to an uninformative uniform distribution. Table 6 shows the experimental results that provide a posterior probability of 90% or more of observing a percentage of SAEs in the overall sample higher than an acceptable maximum, established at 4%. Given the current number of recruited patients, the values in Table 6 indicate the minimum number of SAEs that should alert the investigators to assess whether to continue the study. ### Table 6 Safety results that provide a posterior probability of 90% or more of observing a percentage of serious adverse events in the overall sample higher than an acceptable maximum (4%)...### Study reports The scientific responsibility for monitoring the course of the study will be entrusted to an independent data monitoring committee (IDMC) and to the SC that will work in close contact with the DCC and the CRO. The IDMC will receive a report to evaluate the progress and safety of the study every 3 months in the first year and every 4 months from the second year on, and it will inform the SC of any recommendations for an early interruption of the study. The reporting form will be defined in collaboration with the DCC and the CRO, it will be approved by SC and it will be produced by the CRO in a blinded form. Only the IDCM and the party responsible for the quality of the data may ask for an unblinded version of the report. The IDMC will evaluate safety, also taking into account early stopping rules. The IDMC will also consider whether the proportion of negative venography in the patients with positive echo Doppler results exceeds the expected 10% proportion and will discuss with the SC the possible implications for the conduct of the study. Every 4 months the DCC will provide an evaluation of study quality. Within 1.5 years after the start of recruitment, the DCC member in charge of monitoring study quality will provide a description of preliminary results on the subset of patients with 1 year of follow-up, allowing assessment of the validity of the sample size calculations. This evaluation will be submitted in blinded fashion to the IDMC for recommendations to the SC. During the study, the IDMC, in collaboration with the SC, will assess new publications on CCSVI and MS that might be relevant to the study protocol....",Reported stopping guidelines used ,No,
60,Results,PMC5833494,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5833494/,"...A trial data coordinating center was established to oversee data collection and quality and to perform the statistical analyses....The data coordinating center set up an internet-based computerized central randomization protocol stratified by participating center with variable length blocks, which assigned patients to the PTA or sham group in a 2:1 ratio....Stopping rules included serious adverse events and/or a false-positive rate for CCSVI on ECD exceeding 10%....Stopping decisions were taken without knowledge of outcomes or treatment allocations....",Reported stopping guidelines used ,No,
61,Protocol,PMC6869182,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6869182/,...This study does not have a data monitoring committee because we are not testing the safety or efficacy of a new intervention but rather the association of increasing access to the postpartum contraceptive implant with uptake of the device. Do not have any predefined stopping guidelines. No one will have access to any interim results that might influence a decision to terminate the trial early (Additional file 2)....,Reported no stopping guidelines used  ,No,
61,Results,PMC7439552,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7439552/,"...As this was a pragmatic trial testing a hypothesis about how reducing a barrier to access might increase use of already approved and commercially available contraceptives, there were no pre-specified stopping guidelines [6]....",Reported no stopping guidelines used  ,No,
62,Protocol,PMC4031497,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4031497/,"...An independent data and safety monitoring board (DSMB) will monitor safety, scientific, and ethical aspects of the study....The authority to stop the study will be retained by the DSMB and must be based on consensus....",Not Reported  ,Yes,
62,Results,PMC5152707,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5152707/,"...Potential MACEs were shared with the data safety monitoring board and discussed by the entire investigative team during monthly conference calls, and adjudicated based on consensus among site investigators....The data safety monitoring board classified this MACE as unrelated to the intervention....Data safety monitoring board: JH (chairman; Yale University School of Medicine, New Haven, CT, USA), Chadwick Miller (Department of Emergency Medicine, Wake Forest Baptist Medical Center, Winston Salem, NC, USA), Simon Mahler (Department of Emergency Medicine, Wake Forest Baptist Medical Center), and Megan E Branda (Department of Health Sciences Research, Division of Biostatistics and Informatics, Mayo Clinic, Rochester, MN, USA)....",Not Reported  ,Yes,
63,Protocol,PMC3179718,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3179718/,,Not reported,No,
63,Results,PMC6371462,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371462/,,Not reported,No,
64,Protocol,PMC4672547,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4672547/,,Not reported,No,
64,Results,PMC7457274,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7457274/,,Not reported,No,
65,Protocol,PMC3263442,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3263442/,,Not reported,No,
65,Results,PMC4947351,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4947351/,,Not reported,No,
66,Protocol,PMC3503643,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3503643/,,Not reported,No,
66,Results,PMC4243194,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4243194/,,Not reported,No,
67,Protocol,PMC5337660,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5337660/,,Not reported,No,
67,Results,PMC7592285,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7592285/,,Not reported,No,
68,Protocol,PMC6180640,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6180640/,,Not reported,No,
68,Results,PMC7451542,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7451542/,,Not reported,No,
69,Protocol,PMC3260439,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3260439/,,Not reported,No,
69,Results,PMC7846038,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7846038/,,Not reported,No,
70,Protocol,PMC4919867,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4919867/,"...A Data Safety and Monitoring Board (DSMB) has been convened to assure the continuing safety of research participants. A clinical monitor will carry out onsite monitoring visits prior to the trial commencing, at recruitment, and at 6-month and 12-month follow-up. The trial coordinator will carry out day-to- day monitoring and will also review recruitment rates, withdrawals and losses to follow-up....",Not Reported  ,Yes,
70,Results,PMC8938762,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8938762/,...An independent Data Safety and Monitoring Board oversaw the study....,Not Reported  ,Yes,
71,Protocol,PMC3193523,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3193523/,"...The Administrative Coordinating Center is housed at the University of Florida with the Data Management, Analysis and Quality Control Center (DMAQC) located at Wake Forest University School of Medicine....A Data Safety Monitoring Board regularly reviews all adverse events....Analyses and development of data monitoring reports are performed centrally by DMAQC statisticians....#### Data Safety Monitoring Board.— A Data Safety Monitoring Board has been appointed by the National Institute on Aging....",Not Reported  ,Yes,
71,Results,PMC4266388,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4266388/,...The trial was monitored by a data and safety monitoring board appointed by the National Institute on Aging....,Not Reported  ,Yes,
72,Protocol,PMC6597746,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6597746/,,Not reported,No,
72,Results,PMC8539308,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8539308/,,Not reported,No,
73,Protocol,PMC5765655,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5765655/,"...Per several of the funding mechanisms, quarterly reports on trial progress are generated and serve as an internal data monitoring process. No external agency will monitor the data, outside the University’s IRB if necessary. The study team and physicians will have access to the quarterly report generated, should anything in the data suggest that the trial be stopped the physicians will be able to provide judgement....",Not Reported  ,Yes,
73,Results,PMC7282578,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7282578/,,Not reported,No,
74,Protocol,PMC4037747,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4037747/,"...### Safety The Data Safety Monitoring Committee (DSMC) will meet after 200 and 500 patients to review enrollment, study procedures, form completion, data quality, loss to follow-up, drop-in rate, and interim safety and efficacy results. The analyses will test the hypothesis that the probability of developing moderate to severe AGE in the probiotic arm is equal to that in the placebo arm. Conservative O’Brien-Fleming monitoring boundaries, implemented using the Lan-DeMets alpha-spending function approach, will be used as guidelines for early stopping for safety or efficacy. Based on trends and adverse events, the DSMC may decide to meet sooner than planned using boundaries adjusted accordingly. Because this trial involves children under the age of 6 months, the DSMC has approved a plan to complete an interim safety analysis on the first 20 subjects enrolled under 6 months of age. All serious adverse events will be reported within 24 hours to the DSMC and based on these reports; the DSMC may decide to conduct a safety analysis before the full 20 subjects have been enrolled in this age group. Otherwise, a blinded analysis will be conducted after the 20 subjects <6 months of age have been enrolled. This data will be unblinded if the DSMC deems it necessary to conduct an unblinded interim safety analysis. The results of this analysis will be communicated to Health Canada at the discretion of the DSMC chair should any concerns be identified. The DSMC consists of a biostatistician (Nick Barrowman, PhD-Ottawa), and two physicians with RCT expertise (Drs. Mark Roback-Minnesota and Terry Klassen (Chair) -Winnipeg)....This information will be recorded in normal study data collection processes....Unblinding should only occur in the event that there is clinical concern regarding the possibility of bacteremia/septicemia or when it is felt by the treating physician that unblinding would alter the clinical care being provided. All patients whose therapy is intentionally unblinded will discontinue the experimental therapy. Approval from the principal investigator or designate will be obtained prior to unblinding. If the principal investigator cannot be reached, unblinding can be performed and the principal investigator informed within 24 hours via email or telephone. Subjects will be withdrawn from the study if: 1. after enrollment they are determined to meet any of the exclusion criteria. 2. the subject is admitted to an intensive care unit. 3. it is deemed by the treating physician that the child’s health may be jeopardized by continued participation in the study. 4. the patient’s caregivers wish to withdraw their child for whatever reason....",Reported stopping guidelines used ,No,
74,Results,PMC7242434,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7242434/,,Not reported,No,
75,Protocol,PMC5634880,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5634880/,,Not reported,No,
75,Results,PMC9822771,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9822771/,,Not reported,No,
76,Protocol,PMC4363354,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4363354/,,Not reported,No,
76,Results,PMC5873374,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5873374/,,Not reported,No,
77,Protocol,PMC4328054,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4328054/,,Not reported,No,
77,Results,PMC8538243,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8538243/,,Not reported,No,
78,Protocol,PMC7931026,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7931026/,,Not reported,No,
78,Results,PMC9225274,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9225274/,,Not reported,No,
79,Protocol,PMC4074338,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4074338/,"...Accordingly, we have incorporated a Data Safety Monitoring Board (DSMB) and a detailed safety protocol. The DSMB was created to monitor and ensure participants’ safety through the course of treatment. Members of the DSMB include five independent researchers who have extensive experience in treatment research with BATD and depression treatment research in general. These individuals are involved in the project as DSMB members in order to guarantee objectivity regarding participants’ safety, study conduct, and recommendations concerning the continuation or modification of the project’s safety protocol. These members participate in an annual teleconference to conduct continuous evaluation of the clients’ safety protocol. In addition, monthly reports regarding clients’ progress in both treatment conditions are generated. Any potential issues that pose risk to participants (during screening or during the study course) are discussed over the telephone with the DSMB....Within 24 hours of conducting a safety protocol, a conference call discussing relevant details takes place with all of the DSMB members. The goal of this discussion is for DSMB members to provide a future plan to ensure the participant’s safety....",Not Reported  ,Yes,
79,Results,PMC4919206,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4919206/,,Not reported,No,
80,Protocol,PMC5838559,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5838559/,"...If a P value of ≤0.006 is achieved at 9 months, then the study will terminate because the efficacy boundary will have been achieved....An interim analysis will be conducted at 9 months using the Lan‐DeMets version of the O'Brien‐Fleming group sequential boundaries for a 2‐look sequential design (1 interim at 9 months + final analysis). For the interim analysis, the statistical power to test the primary study endpoint is 80% based on a sample size of 70 patients randomized in a 1:1 allocation ratio and an overall experimental type 1 error equal to 0.05 using a 1‐sided hypothesis test. If a P value of ≤0.006 is achieved at 9 months, then the study will terminate because the efficacy boundary will have been achieved....The Data Safety Monitoring Board will meet at 6‐month intervals to monitor study progress, safety, and efficacy....",Reported stopping guidelines used ,No,
80,Results,PMC7654934,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7654934/,"...Icosapent ethyl was associated with slowing of plaque progression, however, the trial at that interim analysis failed to meet stopping criteria, with no significant difference between IPE and placebo in rates of progression of LAP....",Reported stopping guidelines used ,No,
81,Protocol,PMC3039582,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3039582/,,Not reported,No,
81,Results,PMC3636795,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3636795/,,Not reported,No,
82,Protocol,PMC8053307,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8053307/,"...### Data monitoring This committee will be independent of the sponsor with relevant therapeutic and biostatistical experience to allow for the ongoing review of data from this trial. A DSMB will be convened to monitor the trial’s unblinded data focusing mainly on assuring that the study follows the protocol correctly and monitoring the safety issues related to the trial. The DSMB will meet when AEs trigger study pausing/stopping criteria are triggered. The DSMB has no competing interests. The current study will have a single interim analysis, which will occur after the recruitment and follow-up of 40% of the total number of subjects (ie, 230 subjects). The interim analysis is designed to test for early stopping for futility or efficacy and sample size re-estimation.20 The interim analysis and final analysis will be based on the sum of the stage-wise p value. Table 2 describes the interim analysis testing boundaries. ### Table 2 Interim analysis and sample size re-estimation...The regulatory authorities are independent of the sponsor....",Reported stopping guidelines used ,No,
82,Results,PMC8747778,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8747778/,"...The trial was overseen by an independent data and safety monitoring board (DSMB)....An interim analysis was planned after recruitment and follow-up of 40% of the total number of participants (i.e. 230). The interim analysis was designed to test for early stopping owing to futility or for efficacy and sample size re- estimation. The decision rules based on the study protocol were (a) to stop the trial for early efficacy if the interim analysis p-value was <0.01, (b) to stop the trial for futility if the interim analysis p-value was ≥0.25, or (c) to declare the trial significant if the sum of the interim analysis and final stage p-values was <0.1832 [12]....We also thank the DSMB members for their input and critical review of the data....",Reported stopping guidelines used ,No,
83,Protocol,PMC5422966,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5422966/,"...An interim sample size recalculation was decided to be performed after 6 months of follow-up data were available for the first 100 patients....An external independent data monitoring committee consisting of two physicians and a statistician performed the interim analysis on data where information about the true type of intervention was concealed....After the interim analysis, sick leave was no longer considered a primary outcome measure, and physical recovery remained the sole primary outcome measure....",Not Reported  ,Yes,
83,Results,PMC8820776,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8820776/,"...After 100 recruited participants, a preplanned interim sample size re- estimation was performed by an external independent data monitoring committee masked regarding allocation.11...This was later deemed unnecessary because the interim analysis only involved estimation of the crude rates and no hypothesis testing....",Reported no stopping guidelines used  ,No,
84,Protocol,PMC4617887,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617887/,"...However, the study monitor, auditor, representative from any regulatory authority, as well as the appropriate Ethical Committee are permitted to review the subject’s primary medical records including laboratory test result reports, ECG reports, admission and discharge summaries, AE and SAE reports occurring during the study....",Not Reported  ,Yes,
84,Results,PMC6613852,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6613852/,,Not reported,No,
85,Protocol,PMC4738785,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4738785/,,Not reported,No,
85,Results,PMC7083321,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7083321/,...There was no data monitoring committee involved with this study....,Not Reported  ,Yes,
86,Protocol,PMC4660775,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4660775/,"...### Safety monitoring In order to (1) protect the rights and well-being of human subjects; (2) ensure that trial data are accurate, complete and verifiable from source documents; and (3) ascertain that the conduct of this trial is in compliance with the currently approved protocol, with Good Clinical Practice (GCP), and with applicable regulatory requirements, this clinical trial is being monitored by a GCP-trained, independent monitor, who is not involved in the clinical trial as part of the trial staff. The monitor will report findings before, during and after the trial....",Not Reported  ,Yes,
86,Results,PMC8899208,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8899208/,,Not reported,No,
87,Protocol,PMC4696142,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4696142/,,Not reported,No,
87,Results,PMC5562172,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5562172/,,Not reported,No,
88,Protocol,PMC5961554,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5961554/,"...The information collected will be reported to the data monitoring committee, comprising specialists in pulmonology and medical statistics who are unrelated to this trial....",Not Reported  ,Yes,
88,Results,PMC8801800,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8801800/,,Not reported,No,
89,Protocol,PMC3407514,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3407514/,,Not reported,No,
89,Results,PMC5293604,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5293604/,,Not reported,No,
90,Protocol,PMC5898565,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5898565/,"...The study team will consist of the PI, study coordinator and study co- investigators and the study will be monitored by the Data Safety and Monitoring Board (DSMB)....These assessments were included to specifically address DSMB concerns regarding potential effects of study medications on maternal or neonatal outcome....#### 2.10.1. Data and safety monitoring The DSMB will be established for this study in order to ensure patient safety. This committee will consist of two members including a University of Connecticut Health Center OB/GYN faculty member and the hospital pharmacist from IDS who will have access to study data including the master randomization list. This committee will initially review data after 10 participants are randomized to ensure study safety and then subsequently will meet at least semi-annually to evaluate safety and outcome data. If the committee were to determine the study drugs posed a significant risk to the participants then verbal and written communication will be sent to the PI to suspend the study....The DSMB will be provided with pregnancy outcome information for both mother and neonate. If there is an adverse event the DSMB will be able to determine if it is likely to be related to the study drug/procedures....",Not Reported  ,Yes,
90,Results,PMC6347742,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6347742/,"...They also thank Dr. Garry Turner, MD and Ruth LaCasse RPh of the University of Connecticut Health Center for their dedication to the DSMB....",Not Reported  ,Yes,
91,Protocol,PMC4683762,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4683762/,"...Governance of data and an independent Data Monitoring Committee (DMC) responsible for interim mid-point in recruitment safety and futility analyses of de-identified data will be conducted at the University of Western Sydney site. The DMC will be composed of a biostatistician with expertise in RCTs, and two senior independent clinical researchers with expertise in RCTs. The trial will be discontinued if assessed to be futile and/or participants’ binge eating is increasing significantly and/or attrition is over 50 %. Therapists under supervision who are not blind to treatment arm will be responsible for the safety of individual participants and will receive directly any concerns about an individual from the DMC....Reports will be made regularly to the committee including results of interim safety analyses by the DMC....",Reported stopping guidelines used ,No,
91,Results,PMC9131673,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9131673/,,Not reported,No,
92,Protocol,PMC6503132,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6503132/,,Not reported,No,
92,Results,PMC8228047,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8228047/,,Not reported,No,
93,Protocol,PMC4966873,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4966873/,,Not reported,No,
93,Results,PMC9224093,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9224093/,,Not reported,No,
94,Protocol,PMC3146889,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3146889/,"...There is a three person data safety monitoring committee (DSMC) that meets quarterly. Current members of the DSMB are Drs. Barbara Luke, Charles Neal, and Dwight Rouse....",Not Reported  ,Yes,
94,Results,PMC4010222,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4010222/,"...The Data Monitoring Committee included the following: Barbara Luke, ScD, Michigan State University; Charles Neal, MD, University of Hawaii; Mel Barclay, MD (deceased), University of Michigan; and Dwight Rouse, MD, Brown University. No funding or compensation was provided for service on the Data Monitoring Committee....",Not Reported  ,Yes,
95,Protocol,PMC3155829,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3155829/,"...### Quality control and quality assurance Suitably qualified Clinical Monitors trained in GCP regularly visit trial sites to monitor all aspects of the trial including; informed consent procedures, drug accountability, source data verification, adverse event reporting, sample handling, analysis and secure data storage....A decision for premature termination will be taken in consultation and agreement with the sponsor, investigators and the DSMB. All relevant ethics committees and regulatory authorities will also be informed of the reason for termination....After recruiting 15 patients per arm, a brief interim analysis report presenting the efficacy, including the triangular analysis will be provided to the Data Safety Monitoring Board (DSMB) whose composition is based on WHO-TDR guidelines [24]. The DSMB membership includes a pharmacologist, paediatrician and an epidemiologist. The DSMB will seek advice from an external statistician when necessary....Adverse event listings are to be provided at the request of the DSMB. The DSMB, through the Chair may request additional efficacy and safety data if they have concerns relating to trial conduct or other ethical and safety issues....",Reported stopping guidelines used ,Yes,
95,Results,PMC5023160,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5023160/,"...Interim analyses were conducted once every 15 patients had reached D28 primary endpoint assessment, using all available data and were based on the ITT analysis population. During each interim analysis, triangular region tests were performed [14] and a decision was taken whether to continue or stop recruitment in each arm based on the position of the test statistic being within or outside the triangular region. Once a decision was reached for each arm to stop, a point and interval estimate for the overall proportion cured at Day 28 (p) was obtained following Whitehead [19] based on all patient data using the ITT analysis population. The proportion of patients cured at day 210 is subject to sequential stopping as far as day 28, but not thereafter....### Interim analyses The first and second interim analyses indicated that all arms should continue (Fig 2; Table 5)....The horizontal axis (V) is proportional to sample size. The vertical axis (Z) is the observed minus expected number of cures, so higher values are more favourable. Each arm is shown by a line with three points representing, from left to right, the first interim analysis (decision: continue for all arms), the second interim analysis (decision: continue for all arms) and the final analysis. The final analysis (shown here) includes patients whose follow-up was still in progress at the time of the third interim analysis, and confirmed the ‘stop’ decisions. Having all stopped at the same analysis, the point estimates of proportion cured are the same for all arms (85%), as are the 95% confidence intervals (77–97%). Based on the probability tree method, the point estimate at day 210 for AmBisome + SSG is 87% (95% CI 77–97%); for AmBisome + Miltefosine it is 77% (64–90%) and for Miltefosine 72% (60–85%)....The authors would like to thank all members of the field teams, including nurses and laboratory technicians in all study sites, clinical monitors and Data Safety Monitoring Board for their contribution to the study....",Reported stopping guidelines used ,No,
96,Protocol,PMC4807574,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4807574/,,Not reported,No,
96,Results,PMC6657860,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6657860/,,Not reported,No,
97,Protocol,PMC4827169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4827169/,,Not reported,No,
97,Results,PMC6296522,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6296522/,,Not reported,No,
98,Protocol,PMC3543344,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3543344/,,Not reported,No,
98,Results,PMC5412730,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5412730/,,Not reported,No,
99,Protocol,PMC3165063,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3165063/,...A multidisciplinary Data Safety and Monitoring Board (DSMB) will monitor the trial....,Not Reported  ,Yes,
99,Results,PMC6355152,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6355152/,"...The study protocol was approved by the institutional review boards at Mayo Clinic (#09–005095; last approval, June 5, 2018), Duke University, and the University of California San Francisco, and an external data safety monitoring board oversaw study activities....### Table 1. Key Events in Fibroid Interventions: Reducing Symptoms Today and Tomorrow Study...The final study procedure was performed August 1, 2014, which allowed for 24 to 36 months of participant follow-up as determined by an interim analysis.11...",Not Reported  ,Yes,
100,Protocol,PMC3661346,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3661346/,,Not reported,No,
100,Results,PMC6982403,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6982403/,,Not reported,No,
