PairID,Protocol/Results,PMCID,Link,Text,Allocation ratio (select the best answer),Used full article,Note
50,Protocol,PMC3699393,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3699393/,"...The present trial is based on a controlled trial, including three groups of approximately 50 individuals who suffer from psychological stress: (1) the experimental group (EG), (2) the control group (CG), and (3) the waiting list (WL) group....",Equal allocation to all groups,No,
50,Results,PMC4115267,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4115267/,"...With an established alpha level of .05, 0.80 power, and a preliminary research based effect size of 0.272 (n=15, treatment vs non-treatment using the STAI Y2 score), a sample size of 30 participants for the group was enough to test the hypothesis of si",Equal allocation to all groups,No,
51,Protocol,PMC5584035,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5584035/,...Sample size and power calculations for ToV5 were based on a two-sided test of proportions and a z-statistic using the asymptotic variances of the observed proportions which assumed 1:1 randomization to vitamin D3 and placebo arms and a nominal Type I e,Equal allocation to all groups,No,
51,Results,PMC9012360,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9012360/,"...Pregnant women were randomly assigned in a 1:1 ratio to either the vitamin D3 supplementation or placebo group, stratified by the study clinic....Briefly, the trial target sample size was 2,300 pregnant women living with HIV based on power calculations",Equal allocation to all groups,No,
52,Protocol,PMC5719477,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5719477/,"...The US-based staff member maintained a computer- generated (via Microsoft Excel) 1:1 randomization sequence stratified by study compound and in blocks of 20 (i.e. each 20 assignments included 10 CETA and 10 TAU)....For 80% power at an α level of 0.05,",Equal allocation to all groups,No,
52,Results,PMC7164585,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164585/,"...Eligible couples were randomized as a unit 1:1 to either CETA or treatment as usual plus safety checks (TAU-Plus)....Three lists (1 for each study site) were maintained, each with random treatment assignments to CETA and TAU-Plus in blocks of 20 (i.e.,",Equal allocation to all groups,No,
53,Protocol,PMC3720554,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3720554/,,Not reported,No,
53,Results,PMC4371624,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4371624/,,Not reported,No,
54,Protocol,PMC4248299,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4248299/,...Patients will be randomly assigned to hip arthroscopy or physiotherapy with 1:1 allocation using a telephone system provided by the Oxford Clinical Trials Unit....,Equal allocation to all groups,No,
54,Results,PMC6365841,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6365841/,...FAIT is a two group parallel assessor blinded pragmatic randomised controlled study with 1:1 allocation....,Equal allocation to all groups,No,
55,Protocol,PMC5134092,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5134092/,"...The sample size is estimated at 4356 participants in total and is calculated on the basis of the following assumptions: 1:1 randomization, two-sided significance level of 0.05, power of 0.9, intra-cluster correlation coefficient of 0.01; and with an av",Equal allocation to all groups,No,
55,Results,PMC6714428,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6714428/,"...The estimated sample size was 4356 based on the following assumptions: 1:1 randomisation, a two-sided significance level of 0.05, an intra-cluster correlation coefficient of 0.01 [18], a power of 90% and categorical analysis with a power to detect a di",Equal allocation to all groups,No,
56,Protocol,PMC5654192,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5654192/,"...The impact of the Health Scout intervention will be assessed through a pragmatic, parallel, cluster-randomized controlled trial with an allocation ratio of 1:1 and superiority framework (Fig. 1)....",Equal allocation to all groups,No,
56,Results,PMC7787382,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787382/,"...In brief (also see S1 CONSORT Checklist), the study was a pragmatic, parallel, cluster randomized, controlled trial with an allocation ratio of 1:1....Given the fixed sample size and desire for baseline comparability of important characteristics, we us",Equal allocation to all groups,No,
57,Protocol,PMC6887087,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6887087/,...Participants will be randomised 1:1 to either empagliflozin 25 mg or matching placebo once daily for 13 weeks....The trial medication will be randomised in computer- generated 1:1 blocks of 10 by the study pharmacy (Glostrup Pharmacy)....,Equal allocation to all groups,No,
57,Results,PMC8475664,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8475664/,...Eligible participants were randomly assigned (1:1) to either empagliflozin 25 mg once daily or a matching placebo for 13 weeks....,Equal allocation to all groups,No,
58,Protocol,PMC6327461,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6327461/,,Not reported,No,
58,Results,PMC7511540,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7511540/,,Not reported,No,
59,Protocol,PMC6647387,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6647387/,"...After at least 1 week of stable nabilone dosage, responders are randomized in a 1:1 ratio at the baseline visit (V 0) to receive either nabilone at the dosage reached during the titration phase or placebo for 4 weeks (phase 2)....Patients will be rando",Equal allocation to all groups,No,
59,Results,PMC7540547,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7540547/,"...In phase II of the study, responders were randomly assigned (1:1) to either their optimal nabilone dose as established during phase I or placebo (corn starch) of matching color and shape and supplied in identical packaging....",Equal allocation to all groups,No,
60,Protocol,PMC3567958,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3567958/,"...The intention-to- treat (ITT) analysis of 423 patients, allocated into the two treatment arms according to a randomization ratio of 1:2 (141 in the control arm and 282 in the experimental arm), will allow us to detect an absolute mean reduction of 2.1 ",Other,No,
60,Results,PMC5833494,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5833494/,"...The data coordinating center set up an internet-based computerized central randomization protocol stratified by participating center with variable length blocks, which assigned patients to the PTA or sham group in a 2:1 ratio....",Other,No,
61,Protocol,PMC6869182,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6869182/,"...Our eight study communities were randomized in a 1:1 allocation ratio to either the intervention or control arms of the study, and our study is designed on a superiority framework....",Equal allocation to all groups,No,
61,Results,PMC7439552,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7439552/,,Not reported,No,
62,Protocol,PMC4031497,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4031497/,...Allocation will be based on a 1:1 ratio between the intervention and usual care arms....,Equal allocation to all groups,No,
62,Results,PMC5152707,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5152707/,"...Patients were randomized 1:1 and dynamically stratified17 by age, sex, and site because of the known associations of age and sex with cardiovascular risk, potential unmeasured differences between sites, and the availability of these data at the time of",Equal allocation to all groups,No,
63,Protocol,PMC3179718,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3179718/,"...The allocation sequence will be computer-generated, using permuted blocks of a varying block size with equal allocation to the two arms....",Equal allocation to all groups,No,
63,Results,PMC6371462,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371462/,,Not reported,No,
64,Protocol,PMC4672547,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4672547/,...Equal distribution of participants in the two groups on CRF is ensured by stratification on expected median with regard to scores on VO2max at baseline....,Equal allocation to all groups,Yes,
64,Results,PMC7457274,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7457274/,...Equal distribution of CRF between the two groups of participants was ensured by stratification around the expected median of baseline VO2max scores....,Equal allocation to all groups,Yes,
65,Protocol,PMC3263442,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3263442/,,Not reported,No,
65,Results,PMC4947351,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4947351/,,Not reported,No,
66,Protocol,PMC3503643,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3503643/,"...As described previously, the comparison groups comprise four intervention communities (receiving the full intervention) and four control communities (receiving only Division level elements of the intervention) (Figure 3)....",Equal allocation to all groups,No,
66,Results,PMC4243194,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4243194/,,Not reported,No,
67,Protocol,PMC5337660,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5337660/,"...A minimisation software package will be used to reduce of the risk of unmatched groups and will be applied to stratify participants according to sex and age using the following parameters: two treatment arms, e-TIS (E) and Ameli.fr (A) allocated 50/50;",Equal allocation to all groups,No,
67,Results,PMC7592285,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7592285/,...Participants were randomly assigned (1:1) to either the intervention arm (invitation to use the e-TIS app) or the control arm (current practices for smoking cessation described on a non-interactive website from the French National Mandatory Health Insu,Equal allocation to all groups,No,
68,Protocol,PMC6180640,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6180640/,"...Study patients will be randomized 1:1, using block randomization in blocks of six, to the intervention arm or standard care arm....Using an α of 0.05, power of 90%, 1:1 randomization, and an uncorrected Fisher’s exact test will require a minimum sam",Equal allocation to all groups,No,
68,Results,PMC7451542,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7451542/,"...On completion of the questionnaire, study participants were then randomized 1:1 to either the intervention arm (SLATE algorithm) or standard arm (routine clinic procedures)....Using an α of 0.05, power of 90%, 1:1 randomization, and an uncorrected Fis",Equal allocation to all groups,No,
69,Protocol,PMC3260439,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3260439/,,Not reported,No,
69,Results,PMC7846038,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7846038/,,Not reported,No,
70,Protocol,PMC4919867,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4919867/,...Fifty-four sub-districts will be randomly allocated in a 1:1 ratio to facility-based care plus community-based rehabilitation (intervention arm) or facility-based care alone (control arm)....,Equal allocation to all groups,No,
70,Results,PMC8938762,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8938762/,...54 subdistricts were randomised (in a 1:1 ratio) to either the intervention (CBR plus facility-based care group) or to the control group (facility-based care alone group)....,Equal allocation to all groups,No,
71,Protocol,PMC3193523,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3193523/,"...After eligibility is confirmed, participants are randomly assigned (1:1 ratio) using a web-based system to either the PA or SA intervention....",Equal allocation to all groups,No,
71,Results,PMC4266388,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4266388/,,Not reported,No,
72,Protocol,PMC6597746,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6597746/,...This can ensure the number of subjects with asthma and COPD are equal in the three groups....,Equal allocation to all groups,Yes,
72,Results,PMC8539308,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8539308/,"...With α level of 0.05, power (1−ß) of 80% and assuming 80% of subjects would respond to salbutamol at the cumulative dose of 1.5 mg with GF:IF = 0.5, compared to 40% with HFNC flow of 50 L/min, 25 subjects in each group and 75 in total needed to be ",Equal allocation to all groups,No,
73,Protocol,PMC5765655,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5765655/,"...This is a single-center, single-blinded, repeated measures, randomized exploratory controlled study with parallel 1:1 allocation in which the research and care teams, including the physicians, know which patients are receiving the integrated medical ca",Equal allocation to all groups,No,
73,Results,PMC7282578,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7282578/,...The sample size for each group was determined to be 34 in the intervention to 68 in the control group....,Other,No,
74,Protocol,PMC4037747,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4037747/,...Randomization employed random blocks of 4 and 6 with a 1:1 allocation ratio....,Equal allocation to all groups,No,
74,Results,PMC7242434,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7242434/,"...In brief, in this double-blind, placebo controlled trial, patients aged 3 to 48 months with AGE presenting for ED care, were randomly assigned, in a 1:1 ratio, to receive 4.0 × 109 colony forming units of a L. rhamnosus R0011 and L. helveticus R0052 (",Equal allocation to all groups,No,
75,Protocol,PMC5634880,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5634880/,...Qualified patients will be randomized into either of the two groups: the QSG treatment group or the placebo group (in a 1:1 ratio)....The 200 patients will be randomly allocated in a 1:1 ratio to either the QSG treatment group or the placebo group....,Equal allocation to all groups,No,
75,Results,PMC9822771,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9822771/,"...Qualified patients were randomized in a 1:1 ratio to receive either QSG or a matching placebo for 12 weeks, twice a day, 6.8 g granules at a time....The 200 eligible patients were randomly allocated in a 1:1 ratio to either the QSG treatment group or t",Equal allocation to all groups,No,
76,Protocol,PMC4363354,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4363354/,,Not reported,No,
76,Results,PMC5873374,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5873374/,,Not reported,No,
77,Protocol,PMC4328054,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4328054/,"...Individuals who provide signed consent to participate will be randomized (1:1) to two study groups, intervention and control....",Equal allocation to all groups,No,
77,Results,PMC8538243,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8538243/,"...The participants were assigned randomly to the control group or the intervention group (1:1), using a centralized process carried out by the Research Support Unit of the IDIAP Jordi Gol based on a simple random number list generated with a computer for",Equal allocation to all groups,No,
78,Protocol,PMC7931026,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7931026/,...The allocation ratio was 1:1....,Equal allocation to all groups,No,
78,Results,PMC9225274,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9225274/,...The participants in the trial were randomly allocated to one of two parallel groups with an allocation ratio of 1:1....,Equal allocation to all groups,No,
79,Protocol,PMC4074338,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4074338/,"...Specifically, participants are told that they have an equal chance of receiving one of two psychotherapies that have yet to be formally evaluated among Latinos with LEP....",Equal allocation to all groups,Yes,
79,Results,PMC4919206,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4919206/,,Not reported,No,
80,Protocol,PMC5838559,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5838559/,"...Eligible patients will be randomly assigned to icosapent ethyl 4 g/d or placebo (light liquid paraffin, matched for color, size, shape, weight, and odor) in a 1:1 fashion....Assuming a 15% dropout rate, a total of 80 (40 per arm) patients are to be enr",Equal allocation to all groups,No,
80,Results,PMC7654934,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7654934/,...Patients were randomized 1:1 to IPE or placebo to evaluate progression rates of plaque volume on CCTA....,Equal allocation to all groups,No,
81,Protocol,PMC3039582,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3039582/,...Recruiting 60 subjects to each group will allow a 10% withdrawal or dropout rate....,Equal allocation to all groups,No,
81,Results,PMC3636795,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3636795/,...Subjects that tolerated sevelamer then underwent 1:1 randomization to continue another 36 weeks of treatment with either sevelamer or placebo with meals....For >90% power to detect an 8-g difference between groups in the change in LV mass at 5% signifi,Equal allocation to all groups,No,
82,Protocol,PMC8053307,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8053307/,...Patients will be randomly assigned in a 1:1 ratio to both arms....Eligible participants are randomised in a 1:1 ratio to either the therapy group (favipiravir) or a control group (placebo)....,Equal allocation to all groups,No,
82,Results,PMC8747778,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8747778/,...Patients were randomized in a 1:1 ratio to oral favipiravir or placebo....A one-sided test of whether the hazard ratio (HR) is 1 with an overall sample size of 576 (288 in the control group and 288 in the treatment group) achieved 90% power at a 0.025 ,Equal allocation to all groups,No,
83,Protocol,PMC5422966,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5422966/,...Randomisation will be performed as block randomisation with a 1:1 allocation and a block size that will be unknown to study personnel....,Equal allocation to all groups,No,
83,Results,PMC8820776,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8820776/,"...Participants were randomly assigned to 1 of the 2 study groups after consenting to participate with a 1:1 allocation through a computer system creating the allocation sequence with a block size of 4, unknown to personnel....",Equal allocation to all groups,No,
84,Protocol,PMC4617887,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4617887/,...Half of the patients will receive a cemented hemiarthroplasty with a modular unipolar head. The other half will receive a cemented total hip arthroplasty with a 32-mm femoral head articulating on a cemented highly cross-linked polyethylene acetabular c,Equal allocation to all groups,No,
84,Results,PMC6613852,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6613852/,...The patients were block-randomized in groups of 10 in a 1:1 ratio to receive either hemiarthroplasty or total hip arthroplasty....We planned to include 60 patients in each group (120 patients total) to allow for the loss of patients to follow-up....,Equal allocation to all groups,No,
85,Protocol,PMC4738785,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4738785/,...Sixty camps are enrolled in the trial and half are randomly assigned to the intervention arm and half to the control arm....,Equal allocation to all groups,No,
85,Results,PMC7083321,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7083321/,"...Sixty camps were enrolled in the trial; 30 were randomly assigned to the two-year intervention condition (n = 621 men) and 30 were assigned to the control (n = 637 men)....To facilitate transparency within the community, the 60 camps were randomly assi",Equal allocation to all groups,No,
86,Protocol,PMC4660775,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4660775/,"...The trial is designed as a multicenter, randomized, placebo-controlled, two- group, parallel, double-blind superiority trial of 34 participants with an allocation ratio of 1:1....",Equal allocation to all groups,No,
86,Results,PMC8899208,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8899208/,"...This trial was designed as a randomized, placebo-controlled, two-group, parallel, quadruple (participant, care provider, investigator and outcomes assessor) blind superiority trial of 36 participants with an allocation ratio of 1:1....Using G*Power 3.0",Equal allocation to all groups,No,
87,Protocol,PMC4696142,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4696142/,,Not reported,No,
87,Results,PMC5562172,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5562172/,,Not reported,No,
88,Protocol,PMC5961554,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5961554/,"...Then, each pattern of patients will randomly assigned to either a high-dose GHX02 group (1920 mg/day), standard-dose GHX02 group (960 mg/day) or control group (placebo) in a 1:1:1 allocation ratio....The estimated sample size required for this study is",Equal allocation to all groups,No,
88,Results,PMC8801800,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8801800/,"...The enrolled patients who met the eligibility criteria were stratified into acute bronchitis or AECB and randomized to parallel groups in a ratio of 1:1:1 for the high-dose GHX02 group (1920 mg/day), standard-dose GHX02 group (960 mg/day), and control ",Equal allocation to all groups,No,
89,Protocol,PMC3407514,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3407514/,"...We will randomize about 600 women (anticipated 200 per arm to each of 3 arms; control, low intensity intervention, high intensity intervention) into the study, which will allow for 10% attrition....",Equal allocation to all groups,No,
89,Results,PMC5293604,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5293604/,,Not reported,No,
90,Protocol,PMC5898565,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5898565/,...Subjects who have been recruited and consented for the study will be randomly assigned to either group in a ratio of 1:1 by means of a computer-generated random numbers (Fig. 1)....,Equal allocation to all groups,No,
90,Results,PMC6347742,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6347742/,...Subjects who were recruited and consented for the study were randomly assigned to one of the two groups in a ratio of 1:1 by means of computer-generated random numbers....,Equal allocation to all groups,No,
91,Protocol,PMC4683762,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4683762/,...One hundred participants will be allocated over 18 months to 10 groups with 10 participants in each group. Five groups will receive HAPIFED (experimental group) and five will receive CBT-E (control group)....,Equal allocation to all groups,No,
91,Results,PMC9131673,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9131673/,"...Considering attrition, the sample size was estimated to be 100 in total (50 per treatment arm)....Eligible participants were randomized into blocks of 20 (1:1 ratio) for both groups, being allocated in 10 groups with 10 participants in each interventio",Equal allocation to all groups,No,
92,Protocol,PMC6503132,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6503132/,,Not reported,No,
92,Results,PMC8228047,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8228047/,...The assignment to an experimental or a control group was randomly arrayed and balanced within each block by the RRIPP-3 statistician....,Equal allocation to all groups,No,
93,Protocol,PMC4966873,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4966873/,"...To achieve a power of 80% to detect differences from the null hypothesis, H0: μ1 = μ2, using a bilateral Student’s t test for two independent samples, with a significance level of 5%, we need to include 30 patients in the experimental group and 30 ",Equal allocation to all groups,No,
93,Results,PMC9224093,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9224093/,"...To achieve an 80% power to detect mean differences from the null hypothesis, H0: μ1 = μ2, using a bilateral Student’s t-test for two independent samples, with a significance level of 5%, an enrollment of 30 patients for each group was estimated, me",Equal allocation to all groups,No,
94,Protocol,PMC3146889,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3146889/,,Not reported,No,
94,Results,PMC4010222,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4010222/,"...Assuming a significance level of P = .05, a 1-way analysis of variance test, a variance of means (variance of the individual group means) of 3.920, a SD of 6.4, and an effect size (the index of the separation expected among the observed means) of 0.095",Equal allocation to all groups,Yes,
95,Protocol,PMC3155829,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3155829/,,Not reported,No,
95,Results,PMC5023160,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5023160/,,Not reported,No,
96,Protocol,PMC4807574,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4807574/,"...A second randomization was performed on the 12 MDTs by the methodologist to obtain the two groups: an experimental group constituted by 6 MDTs to undertake a simulation session every 6 weeks, i.e., 9 simulation sessions over 1 year, and a control group",Equal allocation to all groups,No,
96,Results,PMC6657860,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6657860/,,Not reported,No,
97,Protocol,PMC4827169,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4827169/,,Not reported,No,
97,Results,PMC6296522,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6296522/,,Not reported,No,
98,Protocol,PMC3543344,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3543344/,,Not reported,No,
98,Results,PMC5412730,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5412730/,,Not reported,No,
99,Protocol,PMC3165063,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3165063/,,Not reported,No,
99,Results,PMC6355152,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6355152/,,Not reported,No,
100,Protocol,PMC3661346,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3661346/,"...In years 2, 3, and 4 of the 5-year study (2011–2016), 8 schools will be randomly assigned to either receive the intervention (n = 4/year) or serve as the control condition (n = 4/year)....",Equal allocation to all groups,No,
100,Results,PMC6982403,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6982403/,"...The intervention was implemented across three years (2012−2015), with eight schools (four intervention and four control, randomly allocated by a statistician) participating each year....",Equal allocation to all groups,No,